,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,latitud,longitud,fecha_hora_hecho,dia_semana_hecho,dia_semana,conteo_delitos
10693,2017,ENERO,2017-01-18,00:00:00,2017.0,1,2017-01-18,11,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-6,EJERCITO DE ORIENTE ZONA PENON,EJERCITO DE ORIENTE ZONA PENON,IZTAPALAPA,IZTAPALAPA,19.37036,-99.03004,2017-01-18 11:42:00,2,Wednesday,1997
64625,2020,NOVIEMBRE,2020-11-13,00:00:00,2020.0,11,2020-11-13,0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,AO-3,PUEBLO SANTA FE,PUEBLO SANTA FE,ALVARO OBREGON,ALVARO OBREGON,19.38368,-99.23293,2020-11-13 00:25:00,4,Friday,778
76011,2022,MARZO,2022-03-01,00:00:00,2022.0,2,2022-02-01,4,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN BENITO JUAREZ,UAT-BJ-3,LA LAGUNA TICOMAN,BARRIO LA LAGUNA TICOMAN,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.50601,-99.12985,2022-02-01 04:30:00,1,Tuesday,1040
86613,2023,JUNIO,2023-06-27,19:34:16,2023.0,6,2023-06-26,11,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-A,GUERRERO,GUERRERO,CUAUHTEMOC,CUAUHTEMOC,19.4412452842806,-99.1424791195969,2023-06-26 11:30:00,0,Monday,1879
72888,2021,OCTUBRE,2021-10-22,00:00:00,2021.0,10,2021-10-22,11,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-9,CHINAMPAC DE JUAREZ,CHINAMPAC DE JUAREZ,IZTAPALAPA,IZTAPALAPA,19.37899,-99.06029,2021-10-22 11:30:00,4,Friday,2132
26809,2018,ENERO,2018-01-23,00:00:00,2018.0,1,2018-01-23,14,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-6,SANTA MARTHA ACATITLA SUR,SANTA MARTHA ACATITLA SUR,IZTAPALAPA,IZTAPALAPA,19.37343,-99.02235,2018-01-23 14:05:00,1,Tuesday,1997
64683,2020,NOVIEMBRE,2020-11-15,00:00:00,2020.0,11,2020-11-12,12,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-6,ERMITA ZARAGOZA,ERMITA ZARAGOZA,IZTAPALAPA,IZTAPALAPA,19.36792,-98.99352,2020-11-12 12:00:00,3,Thursday,1999
34145,2018,JUNIO,2018-06-23,00:00:00,2018.0,6,2018-06-23,12,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-2,CENTRO,CENTRO,CUAUHTEMOC,CUAUHTEMOC,19.4305,-99.13031,2018-06-23 12:40:00,5,Saturday,1879
60196,2020,MARZO,2020-03-28,00:00:00,2020.0,3,2020-03-28,11,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALIA DE INVESTIGACION TERRITORIAL EN BENITO JUAREZ,BJ-5,MODERNA,MODERNA,BENITO JUAREZ,BENITO JUAREZ,19.39838,-99.13597,2020-03-28 11:45:00,5,Saturday,757
53470,2019,AGOSTO,2019-08-11,00:00:00,2019.0,8,2019-08-11,12,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN GUSTAVO A. MADERO,GAM-2,CUCHILLA DEL TESORO,CUCHILLA DEL TESORO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.44819,-99.05918,2019-08-11 12:25:00,6,Sunday,1126
87686,2023,AGOSTO,2023-08-23,15:47:23,2023.0,8,2023-08-22,18,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-6,SOLIDARIDAD,SANTA MARTHA ACATITLA NORTE,IZTAPALAPA,IZTAPALAPA,19.3737241377645,-99.0031401099283,2023-08-22 18:30:00,1,Tuesday,2067
40743,2018,OCTUBRE,2018-10-20,00:00:00,2018.0,10,2018-10-19,20,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-4,SAN PEDRO,BARRIO SAN PABLO,IZTAPALAPA,IZTAPALAPA,19.36063,-99.08704,2018-10-19 20:30:00,4,Friday,2132
56378,2019,NOVIEMBRE,2019-11-11,00:00:00,2019.0,11,2019-11-09,21,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN BENITO JUAREZ,BJ-1,DEL VALLE CENTRO,DEL VALLE CENTRO,BENITO JUAREZ,BENITO JUAREZ,19.38159,-99.16695,2019-11-09 21:30:00,5,Saturday,924
75819,2022,FEBRERO,2022-02-20,00:00:00,2022.0,2,2022-02-20,16,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,AO-3,AMPLIACION MOLINO DE ROSAS,MOLINO DE ROSAS,ALVARO OBREGON,ALVARO OBREGON,19.37464,-99.20252,2022-02-20 16:10:00,6,Sunday,771
