anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2021,Enero,2021-01-19,00:00:00,2021.0,Enero,2021-01-19,16:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,BJ-2,UI-3CD,NIÑOS HÉROES,Niños Heroes,BENITO JUAREZ,Benito Juárez,CDMX,19.38639,-99.14644,2.0,3,1,960.0,869.0
2021,Abril,2021-04-22,00:00:00,2021.0,Abril,2021-04-19,23:20:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-1,1 SIN DETENIDO,LETRÁN VALLE,Letran Valle,BENITO JUAREZ,Benito Juárez,CDMX,19.37466,-99.15058,1.0,0,1,1400.0,832.0
2020,Diciembre,2020-12-30,00:00:00,2020.0,Diciembre,2020-12-30,13:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,BJ-3,UI-1SD,MIRAVALLE,Miravalle,BENITO JUAREZ,Benito Juárez,CDMX,19.36155,-99.14223,3.0,2,1,790.0,910.0
2022,Julio,2022-07-19,21:51:14,2022.0,Julio,2022-07-19,13:00:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-1,1 SIN DETENIDO,SANTA CRUZ ATOYAC,Portales Norte,BENITO JUAREZ,Benito Juárez,CDMX,19.3703394613036,-99.1567164703679,2.0,5,1,780.0,825.0
2021,Noviembre,2021-11-17,00:00:00,2021.0,Noviembre,2021-11-17,20:32:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,BJ-2,UI-2CD,ÁLAMOS,Alamos,BENITO JUAREZ,Benito Juárez,CDMX,19.39263,-99.14562,3.0,9,1,1232.0,930.0
2023,Junio,2023-06-25,11:28:03,2023.0,Junio,2023-06-24,14:00:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-5,UI-2SD,TABACALERA,Tabacalera,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4318148430953,-99.1581593198286,6.0,6,2,840.0,1886.0
2022,Febrero,2022-02-07,00:00:00,2022.0,Febrero,2022-02-04,20:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-7,UI-1SD,ROMA NORTE,Roma Norte,CUAUHTEMOC,Cuauhtémoc,CDMX,19.42141,-99.16848,5.0,4,2,1230.0,1836.0
2023,Diciembre,2023-12-12,00:00:42,2023.0,Diciembre,2023-12-09,01:15:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-C,UI-1SD,VALLE GÓMEZ,Valle Gomez,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4603293335474,-99.124616240155,6.0,2,2,75.0,2221.0
2021,Mayo,2021-05-27,00:00:00,2021.0,Mayo,2021-05-27,07:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-2CD,ROMA SUR,Roma Sur,CUAUHTEMOC,Cuauhtémoc,CDMX,19.40587,-99.15804,4.0,8,2,435.0,1929.0
2022,Abril,2022-04-07,00:00:00,2022.0,Abril,2022-04-07,13:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-2CD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.43495,-99.14581,4.0,0,2,835.0,1673.0
