anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2023,Enero,20/01/2023,22:26:17,2023,Enero,20/01/2023,21:12:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-2CD,ZONA ESCOLAR,Zona Escolar,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.54064784,-99.14600797,5,3,3,1272,1193
2023,Enero,20/01/2023,17:07:46,2023,Enero,16/01/2023,22:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,PROVIDENCIA,Providencia,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.48693755,-99.07416612,1,3,3,1350,1193
2023,Mayo,13/05/2023,13:54:22,2023,Mayo,13/05/2023,12:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,TLACAMACA,Tlacamaca,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47566595,-99.13432628,6,8,3,770,1018
2021,Julio,28/07/2021,00:00:00,2021,Julio,28/07/2021,16:00:00,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,CAPULTITLAN,Capultitlan,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47584,-99.13498,3,5,3,960,1046
2022,Mayo,17/05/2022,00:00:00,2022,Mayo,17/05/2022,10:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-3CD,SAN JUAN DE ARAGÓN I SECCIÓN,San Juan De Aragon I Seccion,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.46227,-99.09075,2,8,3,600,1018
2021,Octubre,26/10/2021,00:00:00,2021,Octubre,24/10/2021,04:50:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-2,UI-1SD,EJIDOS SAN JUAN DE ARAGON 1A SECCION,Ex Ejido San Juan De Aragon Sector 33,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.4693,-99.091,7,10,3,290,1203
2021,Noviembre,02/11/2021,00:00:00,2021,Noviembre,02/11/2021,01:00:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,ARAGÓN LA VILLA,Ampliacion San Juan De Aragon,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47911,-99.10857,2,9,3,60,1199
2021,Febrero,19/02/2021,00:00:00,2021,Febrero,10/02/2021,15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-6,UI-1CD,CAMPESTRE ARAGÓN,Campestre Aragon,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.48898,-99.08096,3,4,3,900,1048
2023,Junio,11/06/2023,23:56:44,2023,Junio,11/06/2023,23:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-3CD,DEFENSORES DE LA REPÚBLICA,Defensores De La Republica,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47300552,-99.13876042,7,6,3,1395,974
2022,Julio,06/07/2022,18:52:35,2022,Julio,06/07/2022,13:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,UI-1SD,UNIDAD PROFESIONAL ADOLFO LOPEZ MATEOS,Residencial La Escalera,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.50481693,-99.1348967,3,5,3,780,1046
